,image,label,features_pca
114,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 1/103_100.jpg,Apple Red Yellow 1,"[34.898814734817826,-6.004414764552615,-0.24412562602796553,12.2295479254831,-5.889183339798891,-5.184468846879538,7.358425578350684,2.588757399646558,6.238437841261609,-0.7580538089881945,-0.5519788470024224,7.049427836690326,0.4180938551084347,-0.44310527879327105,1.561527800312765,-1.4938419047592084,1.1730053128044935,1.891014672631319,0.46280633445403047,-2.8365683740234573,0.1696249423140187,0.25246295114290007,-7.281292264224863,-5.0532194890458415,-0.14725732765348856,5.000593003155316,2.4810309605649157,-0.8485375562677547,-1.256903704664557,-0.011172493059603557,-1.2322519889439412,-7.673255257949115,0.43569289385917853,-0.7844879926022215,3.9559680038667744,0.22715899702750736,-0.41926878186895933,3.43642498039086,-3.0622187118899302,0.588931490618188,-3.1907684293474214,2.156328403742774,1.1985804617171134,-1.9537247662677955,4.31023268879805,1.345825919988506,-1.684198440701751,-1.8856041936178782,-2.1838160828967457,2.6632846587223926,0.1663784965885202,2.631608049295825,2.8442943597244335,6.752431298760376,-0.8733257832469771,1.8222868825967788,-3.9627505793121944,-0.13913878320300144,0.5767690218443008,-0.17972564853329345,-2.2514443493438576,-1.7119180591104937,3.3418222474416357,2.2013647199048334,-3.1223719897780025,1.7705959799883462,-1.7508978268856537,0.37739842827903103,1.485568497382116,3.6361274493590496,-0.3165067538657085,0.7628191729721034,-2.1642297119151572,-0.19524097282960498,-0.4957016901989048,-1.4344025597723855,4.764420555252078,1.1821999372599215,3.173996225584748,1.8048695939178965,-0.08573159747891176,-2.9603168832425286,-3.532119258714262,-1.0972193847601803,3.048124084089788,1.6658092750732327,-2.6926407664020986,-4.051902658458111,2.0063711727435516,-0.6520562806614523,2.963544905094391,1.429165873953361,-1.8866499928407394,2.9658278458122997,-0.8331152046040682,-1.8752620766803545,-0.023740751850626823,-0.43470844964120625,1.018064446120568,0.9308232018863016]"
115,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 1/104_100.jpg,Apple Red Yellow 1,"[34.25663436653748,-5.564406377488546,-0.30600264274457306,12.112645084297267,-6.126555463374838,-5.209639585658833,7.625626656838369,2.524655464556675,6.470026646665476,-0.32654592436747143,-0.29612679674605913,6.762368664500806,-0.10993201980133044,-0.5309898466173945,1.2856625398107593,-1.2831093106179283,1.1497467964095347,1.881491136369737,0.33592073906122455,-3.044464819511518,0.32713408650528525,0.05830991374121733,-7.2596524958770985,-4.82828031601216,-0.35225240609674274,5.1445199005432345,2.5805670098180884,-0.8097923071823503,-1.5043440952682943,-0.030295250944047475,-1.3186036650182187,-7.485226766471532,0.24764508021660564,-0.8597369023070028,4.253188237681283,0.3275580827507453,-0.6375355223819354,3.3648126937849576,-3.025039489018195,0.38113115825452254,-3.2112605679984814,2.5575867170562083,1.3184200359882705,-2.0781937706750746,4.167385703019494,1.53712880782234,-1.743721385772888,-1.8245765538928116,-2.4739521540804765,2.752033951899208,0.1707968760310048,2.83152306796176,2.455909497999156,7.17440591488543,-0.8258332220198208,1.801412205983752,-4.16284464211212,-0.24884833766579348,0.830078014466698,-0.12947488335803561,-1.9618959924664128,-1.6743823115372147,3.5791118958923622,2.4995863651105523,-3.045421288817798,2.1129858421451706,-1.9990881125910627,0.16087971924573874,1.8174551333898707,3.442932402780172,-0.7338152330544494,1.1397051033827288,-2.290288350154726,-0.10059771129905146,-0.7484829054107549,-1.3388216870720864,4.52374866901485,1.3539980353668772,3.34153412917849,2.009290054002543,-0.2336119709541919,-3.1353217262400332,-3.500870220328956,-1.2897144606572397,2.9726934628731576,1.5418374932266772,-2.629458526882133,-3.8598390352410146,1.9205612977410211,-0.9692151641226201,3.394623158724221,1.5040995480971902,-1.875930550854233,2.4798505124644508,-0.7974618160160147,-1.987561171740831,-0.14384349943659516,-0.36238709493125726,0.7886593801747325,0.8817688475273173]"
116,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 1/105_100.jpg,Apple Red Yellow 1,"[34.45326376802373,-5.694244014272977,-0.33790903360526997,12.064547311366146,-5.989131360132494,-4.643336048026262,7.6197182202652805,2.6866668493060697,6.324732876462594,-0.6660139228032614,0.1367233947796735,6.912118019540993,-0.087421129303613,-0.4368329222081096,1.5462801491861966,-1.1337159144406375,1.7727512744834772,1.748734138545566,0.6587143896053717,-3.541902736573886,0.398755531520794,0.009893716075207816,-7.524856057723925,-4.955266956992609,-0.22804388046279378,4.652979154934283,2.9057146188746374,-0.8690081763926736,-1.0017776666246254,-0.05765863222070865,-1.5715017073689554,-7.637761372599929,0.36268553786358004,-0.9988184484364039,4.12326049777038,0.026785383169805894,-0.8735878269715658,3.327927860515163,-3.1135039707348575,0.31900503696141336,-3.256691683102914,2.3659419736052394,1.3320138870471292,-1.933342866662779,4.05500599175615,1.0927314502906667,-1.6057952870168863,-1.990276878081379,-2.527259170744176,2.777117674229288,-0.24395953305118445,2.861915445539147,2.0569448452701256,7.067470534464669,-0.34663406010826825,1.9887715296309314,-4.017304806947859,-0.2583319420665725,1.118319585373467,-0.10934890307043516,-1.9173741939692626,-1.4582093200483397,3.7069972605040196,2.554321163082321,-3.0231716331024585,1.8767584903850743,-1.6723963348241806,-0.2637698027088855,1.5574411889054227,3.532402013562725,-0.2261771051707371,0.9486294278287712,-2.2002115526784465,-0.3889733289530492,-0.3271642608438281,-1.5762923497828556,4.600837987316481,1.2812251196197384,3.303685258602536,1.8619596630496427,-0.2834091563506014,-3.127387411766915,-3.993211222302076,-1.248533382578679,2.84559427674274,1.4196798575866492,-2.3724466893544314,-3.9641526280334216,1.5312431103125632,-0.9862113690606302,3.115179739454293,1.860296248180746,-1.7971775607134317,2.749507830613592,-0.47759154183126695,-1.7902169997239514,-0.2379735725205708,-0.4218022637737538,0.907550667100987,1.1105901105752718]"
117,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 1/106_100.jpg,Apple Red Yellow 1,"[33.655683527702806,-5.266107762117175,0.06586897696366409,12.375754653350551,-6.191060633446462,-5.330397193489547,8.129005344035356,2.584983042869082,6.318668042442601,-0.25673805942383926,0.1424921623323252,6.880551137357426,0.4687087070946213,-0.4381480196749367,1.6338826455185325,-0.9711320006846207,1.6854368987111725,1.6972051313225889,0.6799433230825802,-3.9877430110762337,0.15645284444261617,-0.14098573361063366,-7.867071876464251,-4.083942684875894,-0.3858869430683021,5.233138232832561,2.998176371702806,-1.0280925700240369,-0.6949018560632133,0.2645498646314461,-1.5075683232931498,-7.243983497453428,0.3118071246051791,-1.0195689263643828,4.061132546680916,0.2626306441300415,-0.3345692704623792,3.1656104731125385,-2.911395106875219,-0.001549167387370689,-3.402714355430535,2.683716842597159,1.6522460247990267,-2.206414045555997,3.870957923644092,1.5481626202925955,-1.9167864555315788,-1.7000236741413566,-2.2890709575610413,2.56955722196644,-0.27519064613445543,2.902963893891351,1.9936746853157803,6.996606467855645,-0.5485013630255505,1.875732616104542,-4.117311238149012,-0.1166950558178999,1.3319188509743487,-0.007395318333812826,-1.9123017073145367,-1.8228383703426345,3.927253407440992,2.326855833923131,-3.2447626438436186,2.239208469114187,-1.8698958261204577,-0.3579247222095404,1.727366030433795,3.5737678465623817,-0.6725406051880092,0.8420212890652596,-2.24493279825277,-0.6213297670616068,-0.059734778012049516,-1.734946823327178,4.333306853487117,1.5173349599563628,3.0188389541394547,1.9105888411410936,-0.3004015569088359,-3.0035027817639626,-3.4182990502201287,-1.6024524131994633,2.8716334333108393,1.2493487961823204,-2.7149941733495866,-3.5591546458508674,1.3706094729890868,-1.2314625972120699,3.2628506697485538,2.245473418030575,-1.4549182699684444,2.6087466491634754,-0.42152505320580325,-2.230799891076293,-0.3244089268412189,-0.40672336729891384,0.781521796069415,0.3661807030812425]"
118,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 1/107_100.jpg,Apple Red Yellow 1,"[33.177718709776556,-5.161196641863639,0.3822398274020553,12.399827013015823,-6.423744027682803,-5.4836674230462545,7.928606443337384,2.4960772331302876,6.273891447528864,-0.00925925105476038,0.35579794008893917,6.9531987345060955,0.05365052838888196,-0.6913752769999083,1.1566734208906981,-0.7618481289998125,1.8263572130255177,1.2735042548155284,0.5549141166115812,-3.5694473365281674,0.26652128922840423,-0.35262328374311774,-8.20385018929162,-4.021649645825671,-0.16954380204497038,5.117525178295034,2.8155905406727,-1.1687461386826443,-0.48071504833899215,0.05971144293146385,-1.128687744008468,-7.060192256800867,0.39891754442479727,-0.9422850162662988,4.087429491532096,0.3820281500394493,-0.752433388421616,3.004470100803296,-3.022590405445192,-0.10065480996493913,-3.6115006611333422,2.769775820556699,1.4694209514956942,-2.2322967901425272,3.851702002955421,1.0393202762661196,-2.137235240962879,-2.0020170720683104,-2.241762713351847,2.8927978933422978,0.19348177696693675,2.6418094880657406,1.4735101562203066,7.280187324456586,-0.2609703311826565,1.9898433801531403,-4.149948370685195,0.1325289988168858,1.2959819417721958,0.0631921513976094,-1.9445275899618335,-1.491168646663788,3.7566715987526873,2.2755301820085796,-2.956724843747411,2.0803153786210893,-1.5782582382140558,-0.4146868739546046,1.6459153083039835,3.1981462821243642,-0.8407957718381557,1.2213544251847228,-1.8492486457098403,-1.0523169266401873,-0.24209391941907485,-1.700908425908664,4.482007402984446,0.5864675529365954,3.3165434734314543,2.192851792048734,-0.2051527102847464,-2.8928933502038667,-3.4069969108106224,-1.706606464726495,2.834885800789174,1.4023783351755346,-2.8934759590335,-3.252485088687633,1.0884517989914695,-1.0833125771086933,3.0960434601741804,2.141207425862554,-1.3939237709864656,2.6405660739511663,-0.1540876834270351,-2.0722932509247785,-0.39725930638160145,-0.5071635493449789,0.6426634518814515,0.3811449356776968]"
119,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 1/108_100.jpg,Apple Red Yellow 1,"[32.554069555884624,-5.138899028148484,0.6959361741018194,12.273421858216292,-6.799070509008119,-5.4097218024689075,8.208147516771295,2.093876613062758,6.207419303385069,-0.04992930451834397,0.5664979695508339,7.093945607361802,0.06159773479729408,-0.7824564962449465,1.2720704549574853,-0.815545725853272,1.9825208767743312,1.054351319951131,0.8393543594037279,-3.8627125217442835,0.36949993951051424,-0.5605040791682436,-8.268085783903032,-3.9221080788455174,-0.08722295965497076,5.097767642950411,2.738414199503257,-1.0907389080791339,-0.8213008069431771,0.0988749588302874,-1.3388050362841635,-7.032965108245278,0.3414015213290128,-0.531076474349647,4.198251517892309,0.1391110478788726,-0.5339130213441357,2.7417243492546266,-3.094721809310449,0.08279947092556789,-3.7000397014270856,2.8162998576604004,1.738578351024007,-1.8583845285734353,3.9204993347291253,1.075077491546521,-2.15940122704421,-2.0722275885061094,-2.378498445091687,2.640027535420673,0.07653959580702147,2.6728640666535255,1.692699698886647,7.396444003525562,-0.2877201965549847,1.8757472673338902,-3.9261362643193345,-0.025334841993118522,1.4666040839587509,-0.08620634018757731,-1.5569601863051006,-1.6343392528178062,3.8002273444021792,2.1111949662011615,-3.0292519319467455,1.8948204860968012,-1.3530934499992864,-0.48985942962576057,1.790274106885865,3.4304948967818154,-0.6766557644067684,1.1856768160544173,-1.6127608499038173,-1.2480837578856354,-0.12046332281552044,-1.5011281848914189,4.773869136238642,0.6982046723648488,3.0853934502207414,2.4886201045316874,-0.020959483818418886,-2.8667736851201875,-3.3228468919450425,-1.9566858278580934,2.4627236336386624,1.332198045301478,-2.5017398833325992,-3.133682510574691,1.22370997607764,-1.3723237771803996,3.0434311681439956,2.581712896831425,-1.3119179939036678,2.874701215328539,-0.19942197660675004,-2.0923826972215074,-0.6434333357976937,-0.2221920410017106,0.692379093769798,-0.042038236669027354]"
120,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 2/0_100.jpg,Apple Red Yellow 2,"[-17.971208429758757,-6.9573281896635715,-12.405581189851953,1.6701927688874485,-4.144373139193169,2.3884775211290483,-8.01974153637479,-4.087867709440793,6.181461736460716,-0.9112000605971865,-6.32629681782988,-1.467087164123711,-2.969445080275783,3.1193136662938814,3.298390417095229,0.6885354132109506,1.518899033742725,0.7815887183154514,-1.038238694443425,0.9108871850899853,-0.22766283329680684,-2.462357606450076,0.5452646209115152,-0.2529787287938752,2.29931923146419,-1.0514967603550773,-2.991587250258398,3.9027439570670737,0.9655025634361074,-1.0685638894912164,-3.428093201153671,-1.6898587755449472,-2.177774365828255,2.7024519778056018,0.20644272294886384,-1.780322316762041,-0.9994484973580307,1.8929084189706347,-2.006492408465068,2.1656389754400065,3.1251654823593875,3.520549445890256,0.4081213719448795,0.7004716882098749,0.6409465245607889,-1.223886505723688,-1.7903831364188119,-0.9121722740077656,2.47868735311247,0.42680829861675623,1.598151182922368,-0.23402770531061506,-1.141859766134658,-0.07388697966826621,0.8304019750817667,-1.7641077877364064,-1.5882650136498653,0.25606389070137825,3.046488465661005,0.770301163445997,-2.5399522107606995,-3.141221638666991,-0.6950602981104601,0.5106287448292236,0.274459892573868,1.5379103569947647,-2.1643061104900463,1.346869671572539,-0.24966925247225835,0.5310728021736798,0.012313308309800835,0.3603848672456053,0.3319346018049148,2.35431823842453,1.1731842537522446,1.9888311178525386,0.8254896977817576,-2.4963369862583296,-1.0472306550551325,1.890828678459135,0.22171528118783482,-0.20564680232187446,-1.3449541507040033,1.859171711795258,0.7639634710836372,-0.19865317787732803,0.5867353414429,2.1280486718690836,4.560059057855102,1.1454802336507794,-1.3437567561731452,-0.5335409103449349,3.0135593589729845,3.266302196864919,-0.8977549502691459,-1.44073465479898,-4.640278387082732,-2.898352981912676,-3.7186106696931596,1.0340554804435993]"
121,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 2/100_100.jpg,Apple Red Yellow 2,"[-24.137070804150405,3.4066581654050676,-12.193517481959569,0.6670052476428273,-8.406294328330025,-2.286111085815626,-5.6557255931023755,-3.691363541324363,0.4377999052351597,-4.218977645285092,-0.02125749236279672,-5.529387567168317,-1.5678236719967429,-0.5382170314499332,3.52579288420383,-1.128104437393225,7.195983777993797,1.6989146555737715,-0.8509040488724211,6.2583661115707185,0.9415287600290377,3.9656989440959047,-5.350405720131895,3.2915411329785695,-2.122779980342258,4.03860520291488,-1.82706110790664,1.3674732353160188,-0.5211585659772676,2.526369269310741,-2.3706339314910205,-1.739514870126958,2.474572513730648,0.41651604760490923,1.4537726319038364,1.4590252216695256,-2.594010245436365,0.9580359912571892,2.268004938234369,1.555982326734329,5.518530952471783,0.3047138728334503,7.231587842106413,1.792668798396162,-1.9137015658424217,-3.657091581957974,8.33862514542072,-1.0651523628089414,2.9241307621427195,0.91982264393331,4.391892524105621,3.0240955868623867,0.4501154633418428,2.146423381487956,3.340037944203979,-0.45923448789239574,1.9285727391970706,0.22392374701253315,3.164451025711442,-3.968033064475297,-1.8136907211787017,1.6454978233783755,1.029590311107987,-4.7747553659245225,0.9394571223944992,2.424918283656071,-4.234521792844367,-5.164791701408071,-1.4966579525541268,5.766812361371722,-6.857696290515812,-1.0798102964744762,8.536449999285088,-4.3009338999413265,-2.1487972008501206,-0.22674007894787154,-2.565766215981487,2.8889327230783444,0.969974434825813,-1.9304828575507882,3.411684396440118,1.1070534003983197,-0.9433898645885302,1.7450119603803895,-3.1283776643875996,0.7739750890146624,-3.5294799423605334,1.1737534471593327,-1.5843875852373537,-1.0735207826144912,-0.8688552289802073,0.8650817477780816,-0.9655620165950726,-0.69089036867191,-1.8987383510823441,1.2107422352254904,-2.001773179245721,0.16308808462027266,2.693220152024376,1.1615070185074263]"
122,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 2/101_100.jpg,Apple Red Yellow 2,"[-26.242494554350277,4.205759277037392,-11.577480051222945,1.4085991352364742,-8.132386371640456,-3.6930340790058476,-6.530850409070213,-5.871788182875669,1.1741965876289442,-3.211646665920757,-1.167424683417004,-6.628039661636028,-1.3666323682679669,-0.1933969426004799,3.5948932974364722,-1.0725094718684447,6.592323833305359,2.180444206586157,-0.2539143453431465,6.502409186398149,1.9760035843218624,4.455467459030331,-5.625142911935812,4.025582076403999,-1.925270855200544,5.079341880990285,-2.350325203781131,0.7393933811873473,-1.7239962531013433,2.261557604540678,-2.759011579338786,-2.5213627563200602,3.853986758619358,0.884416184494587,1.299123662669495,1.2278674685812807,-3.4898331736326105,2.2321772864989535,2.0926527019396666,2.2084435204108157,5.613525654398749,-0.5874034494875049,8.715313815583341,2.9117242274583113,-3.0585037434113174,-5.897826728955234,10.389656832223576,-2.0817278230727587,2.4754919360080025,1.7631625528256607,4.3909642545249525,2.675811912579617,1.2786906625941894,2.5427021906000293,5.1333373189235445,-0.5976338371409193,2.461075407818369,-0.3156289416626133,2.586665461466987,-5.147202857531798,-2.32273047456475,2.9198653556135477,2.2093905842020827,-5.547290332254497,0.23441129673043187,2.8493222479377973,-6.032968075125843,-5.935183113105409,-1.8614911468751953,8.088703334711344,-7.454989043002078,-1.1749468686517677,10.089777202407653,-5.867619352892493,-2.8736824967227164,0.6941406137514572,-2.0569668118736346,2.731064446594914,1.0769155357112783,-1.286051945195619,4.065491346942073,1.7917509507595284,0.19041067755608193,1.0845197273776606,-2.3277343623408933,-0.3220723698955759,-3.944124761587074,0.86672991799395,-2.2013331849766464,0.31218809069597775,-1.2580387249655731,1.0401574782716039,-2.3395494174371603,-0.3154576014134072,-1.683029675601584,1.2237956273794701,-1.373815722795575,-0.6468341020602447,2.5796082809018492,0.4537904884394852]"
123,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 2/102_100.jpg,Apple Red Yellow 2,"[-24.933148330168773,4.23164352964337,-10.628729151705416,0.6887590783204173,-7.960179983282476,-2.267080434047385,-6.222701233159846,-5.632573730799866,1.593548519477007,-2.7935809564870913,-1.0559642219807792,-5.6254128835604185,-1.4635448483397153,0.4637836054000266,4.249660777715056,-1.8368857713726983,6.28461299979674,1.888084751284269,0.1488291389803962,6.481964318888355,1.7967631535883504,4.520782130122448,-4.914226099936634,3.4350474014356456,-2.8589167713097408,4.1444045764769095,-1.5350747834228955,0.10959881003243034,-2.4950586847929213,1.8398777319983992,-2.3417961120386916,-1.7551748587602563,3.4558872714285824,0.6555079504942813,2.035492411075785,0.939411779840813,-3.3998862576323927,1.7371411740480491,1.9982351089653712,3.4120791400703796,6.40856861769597,-0.4155408931902227,7.8347384188439175,2.4839694927184395,-2.7236371082299367,-7.525032683710586,9.769787953022592,-1.9565518695464226,2.8427556613426805,1.7265627285713891,4.650522240373684,2.3650632733966037,1.6970915246493623,2.0061933900598,4.067611467649701,-0.8481026840666709,3.1535564454080416,-0.32727641687977976,3.3240436572663237,-5.315276908646123,-2.713163748726786,2.4964288127857377,2.6205564750370316,-5.082000220510907,-0.22204899838366027,1.9576751809320891,-5.758302553413433,-6.40715016803771,-2.5937425802300846,8.575844177508113,-6.776932725621714,-0.6261247985142655,9.85159134217305,-5.993875489887762,-2.943747702748704,-0.8830920852047842,-0.37445789466673707,2.741291393616557,0.058790597974533086,-0.7444852832060479,4.032307797681557,1.4396002451296623,-0.5291533000233946,0.9651940423639335,-2.760587617660452,0.509350774763247,-2.1951684361182124,-0.11876006293498374,-2.6357985500923227,1.1423826475187657,-0.2718079646446034,1.600449729442136,-1.6749241307844205,0.02821831851206434,-1.2735663718671355,0.3455129315171563,-0.8217632051432041,-0.35751594243314544,2.241963061755791,0.8541710768406182]"
124,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 2/103_100.jpg,Apple Red Yellow 2,"[-24.284172038939342,4.514545503761416,-10.693325293024987,0.11164284295739971,-7.946808753111438,-2.289375935638654,-6.5020708978403485,-6.5000967824631415,0.13412572602195252,-3.0518921715362692,-1.0323372996407416,-5.9322380347656605,-1.8260805107249578,0.8442682509113447,4.580219318764029,-1.5931376652085814,6.105322235084699,2.680610216765479,-0.3148044983773269,5.825982999723135,1.423315077563868,5.20993328487194,-4.002759255120187,3.0612270042365024,-2.5346389696132867,4.135087952543297,-0.4323353608007159,0.14444649850711383,-0.7033093832227996,2.492395644474039,-2.5827260584675984,-2.260360513203674,2.979043159141502,0.5327420534987448,2.491473432937464,0.8394132894807298,-2.2815276180904087,1.773076053067256,1.7944671215627719,2.1941914808810052,6.955483989218461,0.1760551536465554,6.902805116397309,2.8632873131472607,-2.3606652984309884,-6.474429811212381,8.732688795634033,-1.405426111050493,2.4578986333182495,0.9926607869680011,5.188905568472949,2.678271231968497,3.191701002446066,2.040673337822721,3.8887060993239344,-0.5055377885176079,3.9612142811508075,-1.0075883595213968,2.9250494681514256,-6.222087809189342,-2.6678806548106895,2.4988837879309647,2.533222040553284,-4.657594865117942,0.06585406050719973,3.650341113422372,-6.001224931269267,-6.501718453345394,-3.3105588270122945,9.07073914596874,-5.832617846917885,0.29538955632417074,8.936160174802914,-6.708753888553083,-2.4938302470695155,-0.4680803479316158,-0.16283770190309288,3.200381968703912,-0.16180804324910159,-0.4514586088570807,4.505722774891546,1.215440142809895,-0.7046939878158296,1.4294545094607365,-3.0101611444460574,-0.4044376031631016,-0.9920828748399054,1.0635400905160775,-2.282027275995512,2.0412539937287466,0.31323070875985903,1.5872051103460632,-2.652348932608302,0.07424405673505124,-1.0222058208520128,0.2941860782883017,1.5363179020653934,-0.1042460555903851,0.7487311940628678,-0.00940413939807109]"
125,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 2/104_100.jpg,Apple Red Yellow 2,"[-22.706982408044254,5.770038212093018,-10.66056757913903,0.4059275119916224,-7.38232131034816,-0.8441322838449672,-5.665551461597595,-4.4713588184987385,0.2641054162949334,-3.5124990625189607,0.008307239250412282,-7.365579660821434,-0.9660386356862375,0.5511294103501729,4.797523271656808,-1.7097263436203491,5.237822663012288,3.0842690832761344,-0.6295934934945066,5.99450629081917,1.681287986312114,4.83010689137418,-4.6940484192521685,2.088397086205544,-2.3302891674422814,4.5794939630954925,0.15062179922492375,0.8573684343055151,-0.7950618638964997,2.6653586878650937,-1.9130595448847716,-1.6668141846123958,2.317927289586277,1.0818192890559333,2.3225088468529536,0.49130949260559487,-1.5771526943295726,1.971964306614865,1.9013757116427197,1.5729188256306088,6.721457431330988,0.043219833284995526,6.455456086131811,2.2853403962811583,-2.5466640630428388,-5.262021940969075,5.181876072241697,-1.0036760850574389,1.9324115120707699,0.6213825291844994,4.276937194684958,2.9417017863010564,3.583600761870814,0.44389697154035057,4.2714531254606625,-0.6398621172495071,3.9157790942682036,-2.5799291436087057,2.2969158882949166,-5.737137878604206,-2.0952687816619977,2.487365232342146,1.8090948974814183,-3.2557070005871194,-0.699993644119968,1.8991828588264155,-5.579380525677546,-5.517347199964646,-3.5088600099074485,8.896853762188563,-4.7154723005226895,1.2335624655383302,7.992509874521821,-5.181696953810426,-1.071900897323714,-0.5439031758090778,-0.17731582159532427,2.9479657522671787,-0.7627364362786242,0.18124050666258648,3.258521767529664,0.8066854566360667,-0.12767624164616695,1.7620775968788425,-2.412829022372329,-0.24982829443085108,0.4601314545956797,-0.4952375922360808,-2.020024156827385,2.4184260160484197,-0.20101180561512047,1.5792128576296014,-3.0646210018522417,-1.335485185890997,0.0016142981420340027,0.3069076740141161,3.3297618019132593,0.4326507608436684,-0.26925390545866024,-0.43337482265234506]"
126,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 2/105_100.jpg,Apple Red Yellow 2,"[-22.923158806446388,6.746226965696024,-10.905162380024352,-0.6231998710494582,-9.091896862430332,-0.969697039702607,-4.746556495903067,-4.600246060816795,-0.4607118547545147,-3.4304155088528865,-0.69722269483296,-5.5512705617719345,-1.3168652000097263,-0.38792493709224024,5.87592512754854,-1.581807793331705,5.008276348675072,3.561470727386439,-0.3457274104656369,4.92152187137703,1.9010272612536352,4.701391298871351,-3.9993529032388513,1.6971131641085295,-1.5781343519553588,4.536305281398119,-1.4775774295295816,0.05566341066807112,-0.8870416601192553,2.6897993617951537,-1.7318283046120426,-2.7001376881703436,1.9754033550565395,0.5102758579395836,2.870648174686652,0.4835526186305004,-1.6594260506378193,0.8358478492426356,0.8905868532584822,1.717772909746061,6.286166046606666,0.6125404849368945,6.322691959929349,1.3095232818466018,-1.1437696428722368,-4.818848763589364,5.21691801867073,-0.7568885196438004,2.2518657156828024,-0.0547696349744228,4.281022842096605,2.761980974008972,2.8735962799327694,0.7912365778934365,4.3656490348292705,-1.1802884482475626,2.628305916927579,-3.188705376122267,2.447219002800496,-5.012896188095278,-2.2953729169152637,1.531739210565239,1.9620899479800662,-2.6250281374574125,-0.371440898730687,2.7731577498352733,-5.658704577170678,-4.949538614125979,-4.467642575916812,8.616448163457934,-5.038375583971504,0.12116561734354947,6.37028918373401,-4.2596444160637565,-0.47475231480960284,-0.6891569577386544,-1.3354327548072888,2.883667717913575,-1.6425163530078903,-0.26661662097414823,3.6960441529280987,1.696630833530248,-0.19338862021616154,1.757955196292162,-1.3534019249665266,-0.5810085539816839,1.3771285039378884,0.5600287787513322,-2.4671351216352564,1.1692801273573217,-1.3733100692992903,0.40036795947326687,-1.651496131423867,-2.5630175605756413,1.0252022807975485,-0.7356524591899571,3.091822408325924,-0.8993205222591724,0.13686384087063577,-1.495637375238114]"
127,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Red Yellow 2/10_100.jpg,Apple Red Yellow 2,"[-22.763933167250485,-4.83990523458297,-13.962313570594176,-0.269555824306477,-7.838149852170571,0.10582877829620622,-11.59238821414704,-3.300539970281497,3.235429935844456,0.27564770955878676,-5.440457541150029,-1.073151388947933,-2.395591773289595,5.38603449770988,6.626069021930694,2.226054252091932,4.553362083691858,0.24672304052782884,-2.21396113829805,1.5503745322166578,-0.05971296990601455,1.6138277522731261,-2.3051177670839014,-4.516360956873858,1.4072568422987606,-0.8337301175177846,-3.0116812467821803,1.292047200158991,3.174685191164882,0.6388687155566464,-3.2054540372253144,-2.5153973053874377,-0.35852202188754567,3.5171437519813717,0.31841537824953237,-1.8401793023665138,-1.3345502643579559,-0.6536706594276409,-0.4719596445710972,1.9963582383352836,4.6112434350928035,5.599859430983602,2.8802784757260205,1.0575872547652234,2.169761374832696,-0.712835935904526,0.16329609445410406,-1.1701944670070492,1.0260581361804213,3.457374983490443,-0.296784539363147,0.19143933153972087,-2.3875547129661245,-1.1598580877551923,-1.6449263147563067,-4.401517646311702,0.011747840008654439,-0.06695271297722612,3.2594983745389148,2.1710345617487485,2.157175384658677,-2.338850451575943,0.2794800773388977,0.45295208245442314,-3.2338337092389384,2.3314697027794233,-0.9792556333867597,2.369506577143024,5.327542241926618,0.9776714529777927,-0.3310942556730988,-1.0177186405234357,-0.20170285791649037,3.860122578615582,1.5046942281309426,2.4239574897857206,2.6569668737358234,-2.6529428516538043,-0.34629956039718335,1.7099978568313743,1.3003029453682469,2.034469951558988,-0.49808784911843534,-3.6699402097217586,-1.5424828260363375,4.77293134211789,0.7586964382817922,3.593810065651672,4.436223702891222,6.890717776284951,-3.0128256590745863,-2.9336760306305036,-0.22110529635465967,2.3581802182128104,-2.703367204780603,2.0047413495936115,-12.150577678576594,-8.265760076996525,-4.527913228334202,4.385104901060814]"
